iteration,wins,ties
1,73,427
2,52,448
3,70,430
4,52,448
5,55,445
6,56,444
7,59,441
8,56,444
9,47,453
10,49,451
11,61,439
12,62,438
13,60,440
14,58,442
15,57,443
16,72,428
17,54,446
18,61,439
19,55,445
20,61,439
21,62,438
22,51,449
23,60,440
24,59,441
25,49,451
26,72,428
27,59,441
28,64,436
29,65,435
30,61,439
31,53,447
32,48,452
33,63,437
34,62,438
35,58,442
36,59,441
37,71,429
38,67,433
39,47,453
40,66,434
41,49,451
42,68,432
43,63,437
44,46,454
45,49,451
46,62,438
47,66,434
48,71,429
49,59,441
50,50,450
